"","mycolours"
"1","#a3495b"
"2","#4c9a84"
"3","#a2b094"
"4","#4b778b"
"5","#55bf3a"
"6","#d692b0"
"7","#d63a4f"
"8","#dfa068"
"9","#5c6fda"
"10","#e140aa"
"11","#80b43b"
"12","#5dc0c2"
"13","#9c806b"
"14","#59c392"
"15","#61734b"
"16","#486fb1"
"17","#bf95d6"
"18","#7e54d7"
"19","#a2aac1"
"20","#7d7520"
"21","#b2a739"
"22","#d17bdb"
"23","#6ba6df"
"24","#865d3d"
"25","#b6b06d"
"26","#80904e"
"27","#df462d"
"28","#7e5aa2"
"29","#d99e92"
"30","#566321"
"31","#40be64"
"32","#e57c2c"
"33","#d250d9"
"34","#e14d80"
"35","#aac330"
"36","#e0a732"
"37","#b14a88"
"38","#7cb968"
"39","#397d49"
"40","#af702a"
"41","#566e5f"
"42","#a94727"
"43","#468727"
"44","#de766b"
"45","#a336a5"
"46","#81637d"
